LAMMPS DATA file for 4*4*4-Ga2O3

1280 atoms
2 atom types

0.0 49.50744079 xlo xhi
0.0 12.33503135 ylo yhi
0.0 22.88864419 zlo zhi
0.0 -5.63553564 0.0 xy xz yz

Masses

1 69.723
2 15.999

Atoms #atomic

1 2 -5.21771506 1.54187892 21.43288522
2 2 -5.21771506 4.62563676 21.43288522
3 2 -5.21771506 7.70939459 21.43288522
4 2 -5.21771506 10.79315243 21.43288522
5 1 -4.21240152 0.00000000 21.72409286
6 1 -4.21240152 3.08375784 21.72409286
7 1 -4.21240152 6.16751568 21.72409286
8 1 -4.21240152 9.25127351 21.72409286
9 2 -3.80883115 1.54187892 15.71072417
10 2 -3.80883115 4.62563676 15.71072417
11 2 -3.80883115 7.70939459 15.71072417
12 2 -3.80883115 10.79315243 15.71072417
13 2 -2.87647710 0.00000000 20.38419964
14 2 -2.87647710 3.08375784 20.38419964
15 2 -2.87647710 6.16751568 20.38419964
16 2 -2.87647710 9.25127351 20.38419964
17 1 -2.80351761 0.00000000 16.00193182
18 1 -2.80351761 3.08375784 16.00193182
19 1 -2.80351761 6.16751568 16.00193182
20 1 -2.80351761 9.25127351 16.00193182
21 1 -2.71282533 1.54187892 18.96649419
22 1 -2.71282533 4.62563676 18.96649419
23 1 -2.71282533 7.70939459 18.96649419
24 1 -2.71282533 10.79315243 18.96649419
25 2 -2.39994724 1.54187892 9.98856313
26 2 -2.39994724 4.62563676 9.98856313
27 2 -2.39994724 7.70939459 9.98856313
28 2 -2.39994724 10.79315243 9.98856313
29 2 -2.32601804 0.00000000 17.79864003
30 2 -2.32601804 3.08375784 17.79864003
31 2 -2.32601804 6.16751568 17.79864003
32 2 -2.32601804 9.25127351 17.79864003
33 2 -1.46759319 0.00000000 14.66203860
34 2 -1.46759319 3.08375784 14.66203860
35 2 -1.46759319 6.16751568 14.66203860
36 2 -1.46759319 9.25127351 14.66203860
37 1 -1.39463370 0.00000000 10.27977077
38 1 -1.39463370 3.08375784 10.27977077
39 1 -1.39463370 6.16751568 10.27977077
40 1 -1.39463370 9.25127351 10.27977077
41 2 -1.34773922 1.54187892 22.25648731
42 2 -1.34773922 4.62563676 22.25648731
43 2 -1.34773922 7.70939459 22.25648731
44 2 -1.34773922 10.79315243 22.25648731
45 1 -1.30394142 1.54187892 13.24433314
46 1 -1.30394142 4.62563676 13.24433314
47 1 -1.30394142 7.70939459 13.24433314
48 1 -1.30394142 10.79315243 13.24433314
49 2 -0.99106333 1.54187892 4.26640208
50 2 -0.99106333 4.62563676 4.26640208
51 2 -0.99106333 7.70939459 4.26640208
